,제조사,모델,모델연도,사용량,배기량,변속기,연료,연비,가격
27,Audi, A1,2018,10793,1.4,Manual,Petrol,56.5,15800
28,Audi, A4,2018,25138,2.0,Automatic,Diesel,70.6,17200
29,Audi, A6,2015,61176,2.0,Manual,Diesel,62.8,14000
30,Audi, A1,2015,54754,1.6,Automatic,Diesel,76.3,9500
31,Audi, Q3,2017,21369,1.4,Manual,Petrol,51.4,16500
32,Audi, Q3,2014,39190,2.0,Automatic,Diesel,47.9,15000
33,Audi, Q3,2017,47482,1.4,Automatic,Petrol,47.9,16000
34,Audi, Q3,2016,40501,2.0,Automatic,Diesel,51.4,16900
35,Audi, Q3,2014,43195,2.0,Automatic,Diesel,47.9,12300
36,Audi, A1,2017,31447,1.0,Manual,Petrol,67.3,10800
37,Audi, A6,2016,34030,2.0,Automatic,Diesel,58.9,19400
38,Audi, A4,2017,29063,2.0,Manual,Diesel,70.6,16000
39,Audi, A3,2017,29545,2.0,Manual,Diesel,65.7,17100
40,Audi, A3,2015,75619,2.0,Manual,Diesel,68.9,11300
41,Audi, Q3,2016,39603,2.0,Automatic,Diesel,50.4,17200
42,Audi, Q3,2017,42908,2.0,Automatic,Diesel,51.4,20300
43,Audi, A5,2014,83872,2.0,Automatic,Diesel,58.9,13200
44,Audi, Q3,2016,58750,1.4,Automatic,Petrol,47.9,15200
45,Audi, A3,2019,2029,1.0,Manual,Petrol,49.6,15700
46,Audi, A6,2018,22958,1.8,Automatic,Petrol,50.4,16600
47,Audi, A4,2017,32097,2.0,Automatic,Diesel,72.4,14400
48,Audi, A5,2017,13057,2.0,Automatic,Petrol,53.3,20200
49,Audi, S4,2017,20278,3.0,Automatic,Petrol,38.7,23700
50,Audi, A4,2016,52561,2.0,Manual,Diesel,74.3,12750
51,Audi, A6,2015,31604,2.0,Automatic,Diesel,67.3,13000
52,Audi, Q3,2016,32011,1.4,Manual,Petrol,49.6,15900
53,Audi, Q3,2016,39134,2.0,Manual,Diesel,60.1,15000
54,Audi, Q5,2015,89483,2.0,Automatic,Diesel,47.1,14700
55,Audi, A3,2015,56291,1.8,Automatic,Petrol,42.8,15000
56,Audi, A6,2016,47767,2.0,Automatic,Diesel,61.4,16000
57,Audi, A1,2014,34315,1.4,Manual,Petrol,53.3,11000
58,Audi, A3,2016,66369,1.6,Manual,Diesel,83.1,10200
59,Audi, A6,2016,34110,2.0,Manual,Diesel,61.4,18500
60,Audi, A1,2013,76269,1.6,Manual,Diesel,74.3,7000
61,Audi, A3,2016,37840,1.6,Manual,Diesel,70.6,10600
62,Audi, A3,2017,26249,1.6,Manual,Diesel,67.3,16000
63,Audi, Q3,2017,44898,2.0,Manual,Diesel,57.7,15000
64,Audi, Q3,2017,67161,1.4,Manual,Petrol,51.4,14000
65,Audi, A3,2018,17992,1.5,Manual,Petrol,54.3,18950
66,Audi, A4,2016,97440,2.0,Manual,Diesel,70.6,10200
67,Audi, A1,2017,19268,1.0,Manual,Petrol,67.3,11700
68,Audi, A3,2013,51441,1.8,Automatic,Petrol,50.4,11500
69,Audi, A1,2016,18181,1.0,Manual,Petrol,67.3,10800
70,Audi, A3,2016,19494,2.0,Manual,Diesel,67.3,12500
71,Audi, A6,2016,32808,2.0,Manual,Diesel,61.4,16600
72,Audi, A3,2017,25965,2.0,Manual,Diesel,65.7,13100
73,Audi, A3,2016,88215,2.0,Manual,Diesel,68.9,8300
74,Audi, A3,2019,5704,1.0,Manual,Petrol,49.6,16000
75,Audi, A4,2017,10959,1.4,Manual,Petrol,51.4,16900
76,Audi, Q5,2016,30201,2.0,Automatic,Diesel,47.1,19600
77,Audi, Q3,2017,19319,2.0,Automatic,Petrol,40.4,21800
78,Audi, A6,2017,22582,2.0,Manual,Diesel,61.4,16200
79,Audi, A5,2017,20052,2.0,Manual,Petrol,49.6,18700
80,Audi, Q3,2016,16666,2.0,Manual,Diesel,60.1,16100
81,Audi, A3,2016,25626,1.6,Manual,Diesel,74.3,11300
82,Audi, A3,2016,10460,1.4,Manual,Petrol,60.1,14100
83,Audi, A6,2016,43307,2.0,Automatic,Diesel,57.6,16600
84,Audi, A1,2017,29327,1.4,Manual,Petrol,55.4,11300
85,Audi, Q3,2017,36714,1.4,Manual,Petrol,51.4,15600
86,Audi, A1,2014,28324,1.4,Manual,Petrol,53.3,10000
87,Audi, A1,2016,12100,1.4,Manual,Petrol,56.5,14500
88,Audi, Q3,2017,18001,2.0,Manual,Diesel,62.8,16100
89,Audi, A1,2016,28760,1.4,Manual,Petrol,55.4,10600
90,Audi, A3,2019,4000,1.5,Semi-Auto,Petrol,44.1,25499
91,Audi, Q2,2019,7897,2.0,Semi-Auto,Diesel,47.9,25499
92,Audi, A6,2016,24744,3.0,Automatic,Diesel,56.5,15500
93,Audi, Q3,2015,30075,2.0,Automatic,Diesel,51.4,16200
94,Audi, A1,2017,12577,1.4,Manual,Petrol,58.9,14000
95,Audi, A6,2016,24421,2.0,Automatic,Diesel,61.4,17300
96,Audi, A1,2016,15567,1.6,Manual,Diesel,76.3,10600
97,Audi, A4,2018,15207,1.4,Manual,Petrol,51.4,17500
98,Audi, A4,2017,14864,1.4,Manual,Petrol,52.3,15000
99,Audi, A4,2019,9000,2.0,Semi-Auto,Petrol,38.7,25499
100,Audi, A4,2019,5000,2.0,Manual,Petrol,38.7,25000
101,Audi, Q2,2019,4264,2.0,Semi-Auto,Petrol,33.2,31000
102,Audi, Q3,2019,4000,2.0,Manual,Diesel,42.8,28000
103,Audi, Q3,2019,4000,1.5,Manual,Petrol,42.2,28000
104,Audi, Q2,2019,2721,1.6,Manual,Diesel,49.6,21499
105,Audi, Q2,2019,4000,1.5,Semi-Auto,Petrol,42.2,26000
106,Audi, Q5,2016,49649,3.0,Semi-Auto,Diesel,42.2,30000
107,Audi, A4,2017,14068,1.4,Manual,Petrol,51.4,17000
108,Audi, A4,2017,23092,1.4,Manual,Petrol,52.3,14500
109,Audi, Q3,2017,30682,2.0,Automatic,Diesel,50.4,17500
110,Audi, A1,2016,18272,1.0,Manual,Petrol,67.3,10500
111,Audi, Q2,2017,23714,1.6,Automatic,Diesel,68.9,14800
112,Audi, A6,2016,71311,2.0,Automatic,Diesel,61.4,12000
113,Audi, A6,2018,29477,2.0,Automatic,Diesel,61.4,22000
114,Audi, Q5,2016,60551,2.0,Automatic,Diesel,47.1,17800
115,Audi, A6,2017,42071,2.0,Automatic,Diesel,61.4,19800
116,Audi, A7,2014,55774,3.0,Automatic,Diesel,44.8,19500
117,Audi, A1,2016,36462,1.6,Manual,Diesel,76.3,9800
118,Audi, A3,2016,25376,1.4,Manual,Petrol,57.6,15500
119,Audi, A4,2017,39388,2.0,Automatic,Diesel,67.3,16800
120,Audi, A3,2017,64207,2.0,Manual,Diesel,67.3,11500
121,Audi, A1,2017,49221,1.4,Manual,Petrol,55.4,12100
122,Audi, A1,2017,27179,1.6,Manual,Diesel,76.3,12700
123,Audi, A4,2014,31376,2.0,Manual,Diesel,58.9,11700
124,Audi, A5,2015,62668,2.0,Automatic,Diesel,53.3,11500
125,Audi, A4,2017,10001,1.4,Manual,Petrol,51.4,17400
126,Audi, A6,2016,52544,2.0,Automatic,Diesel,61.4,16000
127,Audi, A4,2016,63097,2.0,Manual,Petrol,49.6,13100
128,Audi, A6,2016,72967,2.0,Manual,Diesel,61.4,14700
129,Audi, A5,2017,32771,2.0,Automatic,Diesel,70.6,21100
130,Audi, Q3,2018,13303,2.0,Automatic,Petrol,40.4,24400
131,Audi, A3,2019,2752,1.5,Manual,Petrol,44.8,18750
132,Audi, Q3,2016,23307,2.0,Manual,Diesel,49.6,16500
133,Audi, A1,2017,34551,1.0,Manual,Petrol,67.3,11000
134,Audi, A3,2017,25457,1.6,Manual,Diesel,68.9,13400
135,Audi, Q2,2018,12167,1.4,Manual,Petrol,50.4,20000
136,Audi, A6,2015,23237,2.0,Automatic,Diesel,67.3,15400
137,Audi, Q3,2016,11863,2.0,Automatic,Diesel,50.4,15500
138,Audi, A4,2017,21225,2.0,Manual,Diesel,72.4,14800
139,Audi, A6,2015,32083,2.0,Automatic,Diesel,61.4,17100
140,Audi, Q5,2017,17039,2.0,Automatic,Diesel,55.4,25750
141,Audi, A4,2016,72026,2.0,Manual,Diesel,74.3,11750
142,Audi, A1,2017,34824,1.0,Manual,Petrol,67.3,11200
143,Audi, A1,2017,20351,1.4,Manual,Petrol,55.4,12800
144,Audi, A4,2017,58028,2.0,Automatic,Petrol,52.3,16000
145,Audi, A5,2017,44783,2.0,Automatic,Diesel,62.8,20000
146,Audi, A4,2014,60604,2.0,Manual,Diesel,67.3,11950
147,Audi, A4,2013,39998,2.0,Manual,Diesel,65.7,9400
148,Audi, A4,2017,20852,2.0,Automatic,Diesel,65.7,20000
149,Audi, A6,2016,79728,2.0,Manual,Diesel,64.2,13300
150,Audi, A6,2017,29095,2.0,Automatic,Diesel,64.2,18500
151,Audi, A3,2013,98940,1.6,Manual,Diesel,74.3,8300
152,Audi, A1,2016,22780,1.4,Manual,Petrol,58.9,13500
153,Audi, A5,2018,20832,2.0,Manual,Petrol,47.1,19800
154,Audi, Q3,2016,29196,2.0,Automatic,Diesel,55.4,15400
155,Audi, A4,2017,14392,1.4,Manual,Petrol,53.3,13900
156,Audi, A4,2018,20070,1.4,Manual,Petrol,52.3,15600
157,Audi, A6,2016,89334,3.0,Automatic,Diesel,62.8,16200
158,Audi, A1,2016,21428,1.0,Manual,Petrol,67.3,10600
159,Audi, A4,2016,45485,2.0,Manual,Diesel,70.6,14300
160,Audi, Q3,2016,32704,2.0,Manual,Diesel,60.1,14700
161,Audi, Q3,2018,42209,2.0,Automatic,Petrol,42.2,19100
162,Audi, A4,2017,17278,1.4,Manual,Petrol,48.7,18100
163,Audi, A1,2017,29515,1.0,Manual,Petrol,67.3,11400
164,Audi, A3,2014,43662,2.0,Manual,Diesel,67.3,11600
165,Audi, A4,2017,45225,2.0,Automatic,Diesel,62.8,17300
166,Audi, A6,2017,45491,2.0,Manual,Diesel,61.4,16400
167,Audi, Q5,2014,52267,2.0,Manual,Petrol,37.7,17100
168,Audi, A3,2014,40807,1.8,Semi-Auto,Petrol,50.4,11498
169,Audi, Q3,2014,65959,2.0,Manual,Diesel,49.6,11698
170,Audi, Q5,2014,47648,2.0,Semi-Auto,Petrol,35.8,18998
171,Audi, Q5,2017,27948,2.0,Semi-Auto,Petrol,40.9,25498
172,Audi, A4,2013,31169,1.8,Manual,Petrol,49.6,10498
173,Audi, A4,2013,42011,2.0,Automatic,Petrol,47.1,9498
174,Audi, A6,2015,56115,3.0,Semi-Auto,Diesel,50.4,19998
175,Audi, A6,2015,65835,2.0,Semi-Auto,Diesel,61.4,16798
176,Audi, A6,2017,63383,3.0,Semi-Auto,Diesel,45.6,23998
177,Audi, Q5,2017,34011,3.0,Semi-Auto,Petrol,34.0,36998
178,Audi, A5,2014,52132,3.0,Semi-Auto,Diesel,49.6,13998
179,Audi, A4,2015,38787,2.0,Manual,Diesel,55.4,15995
180,Audi, A1,2017,34554,1.4,Manual,Petrol,55.4,13495
181,Audi, Q5,2017,17502,2.0,Semi-Auto,Petrol,40.4,30985
182,Audi, TT,2019,3000,2.0,Automatic,Petrol,40.9,29485
183,Audi, A6,2015,34646,2.0,Manual,Diesel,61.4,16985
184,Audi, Q5,2017,18000,2.0,Semi-Auto,Diesel,56.5,26485
185,Audi, Q3,2018,17085,1.4,Semi-Auto,Petrol,47.9,23985
186,Audi, A1,2017,48166,1.6,Manual,Diesel,72.4,12485
187,Audi, Q5,2015,38421,2.0,Semi-Auto,Diesel,47.1,22485
188,Audi, A5,2015,46637,2.0,Manual,Diesel,61.4,16498
189,Audi, A3,2016,24468,1.6,Manual,Diesel,74.3,11998
190,Audi, Q5,2017,29343,2.0,Automatic,Diesel,47.1,24985
191,Audi, A3,2019,8449,1.6,Manual,Diesel,51.4,17985
192,Audi, A5,2017,34679,2.0,Manual,Diesel,65.7,20485
193,Audi, A3,2018,23860,1.0,Semi-Auto,Petrol,60.1,16985
194,Audi, A4,2018,21009,3.0,Automatic,Petrol,35.8,30985
195,Audi, A6,2019,1881,2.0,Automatic,Diesel,47.9,29985
196,Audi, A6,2019,688,2.0,Semi-Auto,Diesel,47.9,27985
197,Audi, A6,2019,1863,2.0,Automatic,Diesel,47.9,30985
198,Audi, Q7,2020,10,3.0,Semi-Auto,Diesel,33.2,62985
199,Audi, RS6,2016,49050,4.0,Semi-Auto,Petrol,29.4,44985
200,Audi, A4,2019,1024,2.0,Semi-Auto,Petrol,38.7,28985
201,Audi, A4,2019,448,2.0,Semi-Auto,Petrol,39.8,24985
202,Audi, A4,2019,476,2.0,Semi-Auto,Petrol,39.2,26985
203,Audi, A7,2019,5201,3.0,Automatic,Diesel,38.7,39985
204,Audi, A3,2019,2028,1.5,Semi-Auto,Petrol,42.2,21985
205,Audi, A6,2019,3241,3.0,Automatic,Diesel,39.2,45485
206,Audi, Q5,2019,355,2.0,Automatic,Diesel,39.2,33985
207,Audi, A5,2019,18,2.0,Automatic,Petrol,39.8,28985
208,Audi, A3,2019,3122,1.5,Automatic,Petrol,41.5,29985
209,Audi, Q2,2019,824,1.5,Manual,Petrol,40.9,28985
210,Audi, A6,2019,2811,2.0,Semi-Auto,Diesel,47.9,31985
211,Audi, A6,2019,27,2.0,Semi-Auto,Diesel,50.4,31985
212,Audi, A4,2019,4254,2.0,Semi-Auto,Petrol,38.2,29485
213,Audi, A1,2019,2252,1.0,Semi-Auto,Petrol,48.7,17985
214,Audi, Q2,2019,3422,1.6,Automatic,Diesel,47.9,20985
215,Audi, Q2,2019,37,1.6,Automatic,Diesel,47.9,23685
216,Audi, A4,2019,7299,2.0,Semi-Auto,Petrol,38.2,27985
217,Audi, Q2,2019,1414,1.5,Semi-Auto,Petrol,40.9,27985
218,Audi, Q5,2019,5135,2.0,Automatic,Diesel,38.2,36985
219,Audi, Q5,2019,6024,2.0,Automatic,Diesel,38.2,37985
220,Audi, Q5,2020,10,2.0,Semi-Auto,Petrol,32.1,37985
221,Audi, Q7,2019,10,3.0,Automatic,Diesel,33.2,49985
222,Audi, Q7,2019,10,3.0,Automatic,Diesel,33.2,59995
223,Audi, Q5,2020,10,2.0,Semi-Auto,Petrol,30.7,47895
224,Audi, A4,2020,10,2.0,Semi-Auto,Petrol,42.2,31985
225,Audi, Q7,2015,47606,3.0,Automatic,Diesel,47.9,29985
226,Audi, A1,2015,26625,1.4,Semi-Auto,Petrol,57.6,12485
227,Audi, A5,2018,5071,2.0,Automatic,Petrol,50.4,24985
228,Audi, A5,2015,28011,3.0,Semi-Auto,Petrol,34.9,21985
229,Audi, Q3,2019,10,2.0,Automatic,Diesel,47.1,34985
230,Audi, A5,2019,10,2.0,Automatic,Diesel,51.4,29985
231,Audi, Q3,2019,10,2.0,Automatic,Diesel,47.1,34485
232,Audi, A1,2019,10,1.0,Manual,Petrol,49.6,19685
233,Audi, A4,2019,10,2.0,Automatic,Diesel,53.3,34985
234,Audi, A7,2019,10,3.0,Semi-Auto,Diesel,38.2,43885
235,Audi, A6,2019,2000,2.0,Automatic,Diesel,47.9,35895
236,Audi, Q2,2019,10,1.5,Automatic,Petrol,43.5,26985
237,Audi, A6,2019,3510,3.0,Automatic,Diesel,36.2,46985
238,Audi, A3,2019,10,1.5,Automatic,Petrol,44.8,23985
239,Audi, A5,2019,10,2.0,Automatic,Petrol,39.8,28985
240,Audi, A5,2019,1010,2.0,Automatic,Petrol,39.8,27985
241,Audi, A6,2019,500,2.0,Semi-Auto,Diesel,47.9,28985
242,Audi, A4,2019,10,2.0,Automatic,Petrol,42.8,29985
243,Audi, A3,2019,10,1.6,Manual,Diesel,54.3,21995
244,Audi, A5,2019,10,2.0,Automatic,Petrol,39.8,31985
245,Audi, A5,2019,10,2.0,Automatic,Diesel,51.4,32485
246,Audi, A3,2019,10,1.6,Manual,Diesel,51.4,21285
247,Audi, Q7,2019,1510,3.0,Automatic,Diesel,33.2,56985
248,Audi, RS3,2019,10,2.5,Semi-Auto,Petrol,30.1,43785
249,Audi, A4,2016,29845,2.0,Semi-Auto,Petrol,45.6,18498
250,Audi, A3,2014,27355,1.8,Semi-Auto,Petrol,42.8,14995
251,Audi, A4,2016,20885,2.0,Manual,Diesel,64.2,17998
252,Audi, A3,2014,10534,1.2,Automatic,Petrol,56.5,10985
253,Audi, A3,2016,25895,2.0,Manual,Diesel,70.6,12995
254,Audi, A1,2016,32867,1.0,Manual,Petrol,67.3,11495
255,Audi, Q5,2015,42793,2.0,Semi-Auto,Diesel,47.1,18295
256,Audi, A6,2015,49039,3.0,Semi-Auto,Diesel,50.4,18998
257,Audi, Q2,2017,22501,1.6,Manual,Diesel,64.2,18485
258,Audi, A8,2017,1420,3.0,Automatic,Diesel,50.4,38985
259,Audi, A5,2019,10,2.0,Automatic,Petrol,40.4,29485
260,Audi, A5,2017,26939,2.0,Semi-Auto,Diesel,62.8,22998
261,Audi, A8,2014,24786,3.0,Semi-Auto,Diesel,47.9,18998
262,Audi, A4,2017,18761,1.4,Manual,Petrol,51.4,17698
263,Audi, A5,2019,10,2.0,Automatic,Petrol,40.4,27995
264,Audi, Q3,2019,10,2.0,Manual,Diesel,42.8,31985
265,Audi, A4,2019,10,2.0,Automatic,Petrol,38.7,30995
266,Audi, A3,2017,22295,1.4,Semi-Auto,Petrol,56.5,18998
267,Audi, Q2,2017,18068,1.4,Manual,Petrol,52.3,16995
268,Audi, A3,2018,25000,1.5,Manual,Petrol,42.2,19995
269,Audi, Q2,2017,23043,1.0,Manual,Petrol,55.4,14495
270,Audi, A5,2014,80902,2.0,Semi-Auto,Diesel,60.1,12998
271,Audi, A4,2019,10,2.0,Automatic,Diesel,50.4,32485
272,Audi, A1,2019,10,1.0,Manual,Petrol,48.7,20485
273,Audi, Q3,2019,10,2.0,Automatic,Diesel,47.1,34485
274,Audi, Q3,2016,26474,2.0,Manual,Diesel,52.3,18698
275,Audi, Q5,2013,65458,3.0,Semi-Auto,Diesel,44.1,15998
276,Audi, TT,2018,34170,1.8,Manual,Petrol,47.1,16498
277,Audi, Q5,2019,100,2.0,Semi-Auto,Petrol,33.2,31998
278,Audi, Q3,2019,650,2.0,Automatic,Diesel,47.1,35985
279,Audi, Q5,2019,10,2.0,Automatic,Diesel,38.2,37985
280,Audi, Q5,2019,10,2.0,Semi-Auto,Petrol,33.2,31998
281,Audi, A4,2019,2928,2.0,Manual,Petrol,41.5,18998
282,Audi, Q3,2018,7157,1.4,Manual,Petrol,51.4,19485
283,Audi, Q3,2016,31600,2.0,Semi-Auto,Diesel,50.4,19995
284,Audi, Q7,2016,46600,4.0,Semi-Auto,Diesel,39.2,47995
285,Audi, A3,2019,10,2.0,Manual,Diesel,56.5,23485
286,Audi, A5,2018,14078,2.0,Semi-Auto,Petrol,45.6,23998
287,Audi, A5,2015,13312,2.0,Manual,Diesel,57.6,17998
288,Audi, A6,2018,10,2.0,Semi-Auto,Diesel,50.4,28985
289,Audi, RS6,2015,20982,4.0,Semi-Auto,Petrol,29.4,46000
290,Audi, A6,2018,15600,2.0,Semi-Auto,Diesel,50.4,26995
291,Audi, A6,2019,5429,2.0,Automatic,Diesel,47.9,33985
292,Audi, Q2,2019,2710,1.5,Automatic,Petrol,40.9,30985
293,Audi, Q7,2019,6423,3.0,Automatic,Diesel,33.2,52985
294,Audi, A1,2017,11017,1.0,Manual,Petrol,67.3,12698
295,Audi, Q3,2017,16908,1.4,Manual,Petrol,51.4,17298
296,Audi, A4,2017,28801,2.0,Manual,Petrol,49.6,16498
297,Audi, A4,2017,23362,1.4,Manual,Petrol,50.4,16798
298,Audi, Q5,2013,50025,2.0,Manual,Petrol,37.7,15998
299,Audi, Q8,2018,8450,3.0,Semi-Auto,Diesel,32.8,63985
300,Audi, A6,2018,1790,2.0,Semi-Auto,Diesel,50.4,27985
301,Audi, A4,2018,10,1.4,Semi-Auto,Petrol,53.3,19485
302,Audi, A4,2018,10,1.4,Manual,Petrol,52.3,20985
303,Audi, A3,2018,6754,1.6,Automatic,Diesel,52.3,22285
304,Audi, Q3,2014,35423,2.0,Semi-Auto,Diesel,47.9,14500
305,Audi, A3,2017,16703,2.0,Semi-Auto,Petrol,41.5,25000
306,Audi, Q3,2017,37203,1.4,Manual,Petrol,51.4,15800
307,Audi, A3,2013,44405,2.0,Semi-Auto,Diesel,58.9,13500
308,Audi, Q3,2014,79389,2.0,Manual,Diesel,50.4,12000
309,Audi, A3,2015,61808,2.0,Semi-Auto,Diesel,57.6,13800
310,Audi, A1,2016,10491,1.0,Manual,Petrol,67.3,11000
311,Audi, A3,2018,19000,2.0,Manual,Petrol,49.6,19995
312,Audi, A1,2016,18900,1.0,Manual,Petrol,67.3,11650
313,Audi, A3,2014,50900,2.0,Manual,Diesel,68.9,11850
314,Audi, A6,2013,49000,2.0,Manual,Diesel,29.7,12495
315,Audi, A1,2015,23081,2.0,Manual,Petrol,39.8,15995
316,Audi, Q7,2020,826,4.0,Semi-Auto,Diesel,29.4,82995
317,Audi, A4,2019,5987,2.0,Semi-Auto,Petrol,38.2,25990
318,Audi, A6,2019,2977,2.0,Semi-Auto,Diesel,47.9,30995
319,Audi, Q5,2019,7573,2.0,Automatic,Diesel,39.2,34985
320,Audi, Q3,2019,3055,2.0,Manual,Diesel,42.8,31995
321,Audi, A4,2019,22,2.0,Automatic,Petrol,38.7,29985
322,Audi, A4,2019,2250,2.0,Automatic,Diesel,51.4,28485
323,Audi, Q5,2016,20547,2.0,Semi-Auto,Diesel,47.1,21498
324,Audi, Q5,2019,10,2.0,Automatic,Diesel,39.2,32895
325,Audi, A5,2016,18828,3.0,Semi-Auto,Petrol,35.8,22998
326,Audi, Q5,2019,28,2.0,Semi-Auto,Petrol,32.1,35998
327,Audi, Q7,2016,38654,3.0,Automatic,Diesel,47.9,29985
328,Audi, A3,2014,25764,2.0,Manual,Petrol,40.4,16485
329,Audi, TT,2016,28402,2.0,Manual,Diesel,62.8,19485
330,Audi, A1,2015,17152,1.4,Manual,Petrol,56.5,13495
331,Audi, A3,2016,29775,1.4,Manual,Petrol,60.1,14995
332,Audi, Q5,2017,7801,3.0,Semi-Auto,Petrol,34.0,39995
333,Audi, Q5,2015,60599,3.0,Semi-Auto,Diesel,42.8,22990
334,Audi, A1,2017,20670,1.4,Manual,Petrol,57.6,12495
335,Audi, A3,2019,2257,1.6,Automatic,Diesel,52.3,24985
336,Audi, A3,2019,4039,1.6,Manual,Diesel,51.4,24485
337,Audi, A3,2016,21241,1.4,Manual,Petrol,52.3,16485
338,Audi, Q3,2016,16945,2.0,Manual,Diesel,49.6,20485
339,Audi, A4,2018,18010,1.4,Automatic,Petrol,49.6,24985
340,Audi, A4,2017,29653,2.0,Semi-Auto,Diesel,62.8,19995
341,Audi, A5,2014,75159,3.0,Semi-Auto,Petrol,34.9,16000
342,Audi, Q3,2014,33842,2.0,Semi-Auto,Diesel,47.9,14998
343,Audi, A3,2015,42977,2.0,Manual,Diesel,67.3,13995
344,Audi, A4,2019,26,2.0,Semi-Auto,Diesel,47.9,27990
345,Audi, A1,2016,17454,1.0,Manual,Petrol,67.3,11995
346,Audi, A3,2018,17547,1.5,Manual,Petrol,56.5,15995
347,Audi, A3,2020,314,2.0,Semi-Auto,Petrol,34.9,35995
348,Audi, A1,2016,25010,1.4,Manual,Petrol,58.9,13585
349,Audi, A6,2019,3278,2.0,Semi-Auto,Diesel,47.9,31985
350,Audi, A7,2019,1285,3.0,Automatic,Diesel,39.2,32985
351,Audi, A6,2019,4445,2.0,Automatic,Diesel,47.9,30985
352,Audi, A4,2020,6998,2.0,Semi-Auto,Petrol,38.2,34798
353,Audi, A4,2020,6746,2.0,Semi-Auto,Diesel,45.6,40780
354,Audi, Q7,2015,21245,3.0,Semi-Auto,Diesel,47.9,34995
355,Audi, A4,2017,27394,2.0,Manual,Diesel,64.2,18995
356,Audi, A1,2016,29283,1.0,Manual,Petrol,67.3,12995
357,Audi, A1,2016,20905,1.4,Manual,Petrol,56.5,14495
358,Audi, A1,2017,24386,1.0,Manual,Petrol,67.3,12995
359,Audi, TT,2017,11621,2.0,Semi-Auto,Petrol,42.8,24995
360,Audi, A3,2019,3409,1.5,Semi-Auto,Petrol,43.5,20985
361,Audi, Q5,2016,30172,3.0,Semi-Auto,Diesel,42.2,31995
362,Audi, A4,2015,27016,2.0,Manual,Diesel,62.8,13995
363,Audi, A4,2020,7456,2.0,Manual,Petrol,40.9,31985
364,Audi, A6,2019,20,3.0,Semi-Auto,Diesel,55.4,29490
365,Audi, A4,2019,4781,2.0,Semi-Auto,Petrol,40.9,20495
366,Audi, Q3,2016,40254,2.0,Semi-Auto,Petrol,40.4,21995
367,Audi, TT,2019,12320,2.0,Semi-Auto,Petrol,40.9,24995
368,Audi, Q2,2018,16534,1.4,Manual,Petrol,49.6,23995
369,Audi, Q3,2017,20075,2.0,Semi-Auto,Petrol,42.2,22995
370,Audi, A3,2016,14401,1.0,Manual,Petrol,60.1,15995
371,Audi, A3,2016,19430,2.0,Semi-Auto,Petrol,47.9,19995
372,Audi, RS4,2013,28359,4.2,Semi-Auto,Petrol,26.4,26995
373,Audi, Q8,2019,16385,3.0,Semi-Auto,Diesel,33.6,49995
374,Audi, A1,2014,24764,1.6,Manual,Diesel,74.3,11995
375,Audi, A1,2014,26141,1.4,Manual,Petrol,53.3,11995
376,Audi, A5,2020,7532,2.0,Semi-Auto,Petrol,39.2,37331
377,Audi, A5,2020,7925,2.0,Semi-Auto,Diesel,45.6,39454
378,Audi, A5,2020,7639,2.0,Semi-Auto,Petrol,39.8,37507
379,Audi, Q3,2020,7914,2.0,Semi-Auto,Diesel,48.7,33462
380,Audi, Q5,2018,15706,2.0,Semi-Auto,Petrol,40.4,30995
